epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2863,1.41325,1.83222,1.42407,0.52357,0.41151,0.40796,0.22949,1.51734,1.78756,1.48673,0.0802892,0.000199099,0.000199099
2,121.002,1.42787,1.53063,1.45653,0.75023,0.48482,0.56284,0.33302,1.42478,1.41349,1.41938,0.0604852,0.000395108,0.000395108
3,179.454,1.44708,1.53737,1.48439,0.72082,0.52917,0.5689,0.31947,1.5704,1.35876,1.44102,0.0406772,0.000587117,0.000587117
4,238.324,1.42716,1.4358,1.45923,0.70514,0.50348,0.54502,0.31231,1.52386,1.38017,1.42792,0.0208652,0.000775126,0.000775126
5,298.701,1.41779,1.40506,1.45189,0.75898,0.53774,0.59236,0.36748,1.38442,1.18203,1.36249,0.00104923,0.000959136,0.000959136
6,356.713,1.37962,1.30635,1.42262,0.75361,0.56282,0.62172,0.37999,1.3851,1.12997,1.34359,0.00095,0.00095,0.00095
7,414.414,1.36666,1.26565,1.4122,0.83269,0.5809,0.6493,0.37023,1.49049,1.06504,1.39816,0.000940001,0.000940001,0.000940001
8,471.908,1.33563,1.19483,1.37693,0.79816,0.60104,0.66512,0.40492,1.28885,1.00586,1.28333,0.000930001,0.000930001,0.000930001
9,530.049,1.30455,1.16943,1.36835,0.78239,0.61789,0.66881,0.4173,1.34256,0.9622,1.29393,0.000920001,0.000920001,0.000920001
10,588.76,1.2996,1.14573,1.36646,0.82965,0.62282,0.69193,0.43659,1.24741,0.89622,1.27542,0.000910001,0.000910001,0.000910001
11,647.25,1.24469,1.10023,1.3247,0.83116,0.61041,0.66988,0.42351,1.26978,1.01981,1.25248,0.000900001,0.000900001,0.000900001
12,705.838,1.25676,1.05971,1.33882,0.78808,0.62303,0.68678,0.45743,1.11748,0.86914,1.18039,0.000890001,0.000890001,0.000890001
13,764.87,1.22658,1.05205,1.31401,0.80259,0.62293,0.69686,0.47502,1.09873,0.85341,1.18222,0.000880001,0.000880001,0.000880001
14,822.651,1.20902,1.01749,1.30423,0.88738,0.60557,0.70394,0.47783,1.08804,0.83592,1.1629,0.000870001,0.000870001,0.000870001
15,880.688,1.20388,1.01474,1.29702,0.88831,0.6522,0.72755,0.50902,0.97935,0.74096,1.1293,0.000860001,0.000860001,0.000860001
16,938.997,1.17266,0.95948,1.2776,0.82409,0.64911,0.71683,0.49576,1.0343,0.772,1.14336,0.000850002,0.000850002,0.000850002
17,996.551,1.17771,0.94399,1.27045,0.89211,0.63139,0.71528,0.50123,1.01932,0.76716,1.13213,0.000840002,0.000840002,0.000840002
18,1054.06,1.14382,0.90967,1.25005,0.84608,0.64906,0.70879,0.49572,0.98146,0.76048,1.1329,0.000830002,0.000830002,0.000830002
19,1112.08,1.13887,0.91606,1.2514,0.85708,0.63705,0.72109,0.49759,1.08394,0.72835,1.14779,0.000820002,0.000820002,0.000820002
20,1170.14,1.12362,0.90146,1.24085,0.89288,0.63941,0.73057,0.51689,0.98982,0.70821,1.11758,0.000810002,0.000810002,0.000810002
21,1227.65,1.13514,0.89241,1.24671,0.89656,0.64974,0.73401,0.50563,1.03271,0.72232,1.13515,0.000800002,0.000800002,0.000800002
22,1284.88,1.10764,0.88002,1.23121,0.8458,0.66829,0.73498,0.52928,0.93108,0.66933,1.09053,0.000790002,0.000790002,0.000790002
23,1342.24,1.09471,0.86901,1.21107,0.89989,0.66698,0.74248,0.53888,0.89616,0.66008,1.07961,0.000780002,0.000780002,0.000780002
24,1399.8,1.09598,0.83805,1.22107,0.88395,0.64724,0.74147,0.53554,0.96533,0.64961,1.10269,0.000770002,0.000770002,0.000770002
25,1457.36,1.10288,0.83504,1.22847,0.89107,0.65198,0.73289,0.54417,0.82102,0.66296,1.06059,0.000760002,0.000760002,0.000760002
